variable_name,variable_value,n_experiments,avg_primary_p95_pct_vs_baseline,avg_secondary_p95_pct_vs_baseline,avg_control_p95_pct_vs_baseline,avg_tradeoff_score,best_tradeoff_score
activated_class,G3,1,-13.506117535524048,,,13.506117535524048,13.506117535524048
activated_class,G2,1,-13.452469536765898,,-73.48858460168908,13.452469536765898,13.452469536765898
activated_class,G0,1,0.0,,0.0,0.0,-0.0
activated_class,G7,1,0.0,0.0,0.0,0.0,-0.0
activated_class,G9,1,416.5175766065873,-45.699155413163844,-31.907165323815736,-416.5175766065873,-416.5175766065873
activated_class,G8,1,523.3077874012354,-43.463278064426234,-25.215726018934586,-523.3077874012354,-523.3077874012354
activated_class,G4,1,,,,,
activated_class,G5,1,,,,,
activated_class,G6,1,,,,,
benchmark_family,root_local_family,3,-8.986195690763315,,-36.74429230084454,8.986195690763315,13.506117535524048
benchmark_family,containment_family,3,313.27512133594087,-29.72081115919669,-19.040963780916773,-313.27512133594087,-0.0
benchmark_family,associative_family,3,,,,,
embedding_variant,structural_component,1,-13.506117535524048,,,13.506117535524048,13.506117535524048
embedding_variant,shared_descriptor,1,-13.452469536765898,,-73.48858460168908,13.452469536765898,13.452469536765898
embedding_variant,baseline_document,1,0.0,,0.0,0.0,-0.0
embedding_variant,containment_baseline,1,0.0,0.0,0.0,0.0,-0.0
embedding_variant,containment_full,1,416.5175766065873,-45.699155413163844,-31.907165323815736,-416.5175766065873,-416.5175766065873
embedding_variant,containment_reduced,1,523.3077874012354,-43.463278064426234,-25.215726018934586,-523.3077874012354,-523.3077874012354
embedding_variant,associative_full,1,,,,,
embedding_variant,associative_partial,1,,,,,
embedding_variant,associative_snapshot,1,,,,,
selected_root,WatchItem,6,-8.986195690763315,,-36.74429230084454,8.986195690763315,13.506117535524048
selected_root,Series,3,313.27512133594087,-29.72081115919669,-19.040963780916773,-313.27512133594087,-0.0
