experiment_id,config_name,activated_class,benchmark_family,selected_root,proposed_embedding_depth,embedding_variant,baseline_config_name,n_primary_queries,n_secondary_affected_queries,n_control_queries,primary_n_rows,primary_avg_latency_ms,primary_median_latency_ms,primary_p95_latency_ms,primary_p99_latency_ms,primary_std_latency_ms,primary_avg_pct_vs_baseline,primary_median_pct_vs_baseline,primary_p95_pct_vs_baseline,primary_p99_pct_vs_baseline,secondary_n_rows,secondary_avg_latency_ms,secondary_median_latency_ms,secondary_p95_latency_ms,secondary_p99_latency_ms,secondary_std_latency_ms,secondary_avg_pct_vs_baseline,secondary_median_pct_vs_baseline,secondary_p95_pct_vs_baseline,secondary_p99_pct_vs_baseline,control_n_rows,control_avg_latency_ms,control_median_latency_ms,control_p95_latency_ms,control_p99_latency_ms,control_std_latency_ms,control_avg_pct_vs_baseline,control_median_pct_vs_baseline,control_p95_pct_vs_baseline,control_p99_pct_vs_baseline,tradeoff_score,tradeoff_class
watchitem_g4_sf0.25,watchitem_g4,G4,associative_family,WatchItem,,associative_partial,watchitem_g0,3,6,1,3,21.355678666198703,22.822199163783807,34.39428936787104,36.79341600722789,9.944518927849886,,,,,6,20.065565599846497,17.9675879177618,40.021463381526694,44.86154014241038,11.937786672765506,,,,,1,0.9849175003182608,0.9531499999866356,1.3458569028443883,1.515992184067727,0.2185551525103526,,,,,,Insufficient data
watchitem_g5_sf0.25,watchitem_g5,G5,associative_family,WatchItem,,associative_snapshot,watchitem_g0,3,6,1,3,24.000669999804813,27.180510998732643,38.061621266751885,41.18667038615968,11.803101620507846,,,,,6,25.104360350208783,24.527436664963414,44.79867267667334,47.505263737233086,13.316947734811366,,,,,1,0.9292200993513688,0.9235669967893044,1.2917483953060578,1.4216536766616628,0.2450877135236291,,,,,,Insufficient data
watchitem_g6_sf0.25,watchitem_g6,G6,associative_family,WatchItem,,associative_full,watchitem_g0,3,6,1,3,25.92117400029868,29.916205334302504,42.95357641603912,46.130014214577386,13.572397036110976,,,,,6,24.167550366594998,24.14729075098876,41.60172824067558,44.392404981808795,11.704488794597658,,,,,1,0.8993023009679746,0.8120460006466601,1.342320754702086,1.5848833540076157,0.2564211103581065,,,,,,Insufficient data
series_g7_sf0.25,series_g7,G7,containment_family,Series,,containment_baseline,series_g7,1,4,5,1,0.800439300655853,0.7679230002395343,0.9748085016326512,1.0497496991592925,0.1007164892173772,0.0,0.0,0.0,0.0,4,49.260094524106535,51.657769374287454,84.62219376106077,86.56491855075728,26.869082278331387,0.0,0.0,0.0,0.0,5,0.5406015196058434,0.5003170983400196,0.8059078896621937,0.9358922988030827,0.15684754884649635,0.0,0.0,0.0,0.0,-0.0,Neutral candidate
series_g9_sf0.25,series_g9,G9,containment_family,Series,,containment_full,series_g7,1,4,5,1,3.0351865003467537,2.7127085013489705,5.035057249187955,5.871169849706348,1.1069713786535016,279.1900894745953,253.25266992951234,416.5175766065873,459.29235839823156,4,35.75519317528233,41.14308362659358,59.61318318786652,61.123381838078785,19.768230532269808,-42.49379373354912,-37.02853429367124,-45.699155413163844,-45.074504796411745,5,0.42773663997650146,0.41629709958215244,0.5408855913265141,0.5737283197522629,0.07030950720904627,-21.70113316341945,-17.59627071745841,-31.907165323815736,-37.1528296287015,-416.5175766065873,Neutral candidate
series_g8_sf0.25,series_g8,G8,containment_family,Series,,containment_reduced,series_g7,1,4,5,1,2.4576549003541004,1.636062497709645,6.076057302925614,7.885160263613216,2.034763743888632,207.03825990807556,113.05033150450193,523.3077874012354,651.146703821698,4,38.452042900098604,45.693544624555216,63.380938388763745,65.05439847856906,21.104818561188875,-40.89432579952474,-35.21645713398517,-43.463278064426234,-42.965664189257964,5,0.4589090800436679,0.43980349801131524,0.6007396098721072,0.64789608134015,0.08914964689311075,-16.081650342856918,-12.683613661850702,-25.215726018934586,-29.694526096252332,-523.3077874012354,Neutral candidate
watchitem_g3_sf0.25,watchitem_g3,G3,root_local_family,WatchItem,,structural_component,watchitem_g0,3,7,0,3,38.60612156713614,38.882804503373336,61.92534901711042,64.72054393714643,17.151580985722592,-11.571905017642031,-14.902307634068839,-13.506117535524048,-13.501769422691828,7,9.099023214990407,9.438467358060214,17.082705607754175,17.989049579233065,5.663371719852179,,,,,0,,,,,,,,,,13.506117535524048,Mild favorable trade-off
watchitem_g2_sf0.25,watchitem_g2,G2,root_local_family,WatchItem,,shared_descriptor,watchitem_g0,3,6,1,3,42.823394733083354,42.20793283335903,68.86805351556784,70.8869768367246,19.53104098770871,-5.993159419411538,-9.065546184679084,-13.452469536765898,-17.95874982028165,6,12.096181683591567,14.566276582627324,20.46142619983584,21.322068838999257,6.914595192036471,,,,,1,0.7082743002683856,0.6826364988228306,1.0347506038669958,1.197561324952403,0.1925044980021992,-51.09194319234741,-26.47224060573788,-73.48858460168908,-79.28394649699456,13.452469536765898,Mild favorable trade-off
watchitem_g0_sf0.25,watchitem_g0,G0,root_local_family,WatchItem,,baseline_document,watchitem_g0,9,0,1,9,31.03673726679214,31.163203666639877,57.52414507236001,61.44179399239268,18.191836989694433,0.0,0.0,0.0,0.0,0,,,,,,,,,,1,1.4481750993581954,0.9284065017709509,3.903037949203275,5.780837188794977,1.601598107254847,0.0,0.0,0.0,0.0,-0.0,Neutral candidate
